id,name,brand,price_inr,rating,rating_count,gender,wear_type,category,category_label,occasion,tags,description,description_source,image,site,product_url,collected_at
nykaa_22909654,Brown UV Protection Oval Full Rim Casual Women Sunglass - VS 2301-Gold-BRN (40),HASHTAG EYEWEAR,699,,,women,accessory,sunglasses,Sunglasses,vacation,women;accessory;sunglasses;vacation;HASHTAG EYEWEAR,Buy HASHTAG EYEWEAR Brown UV Protection Oval Full Rim Casual Women Sunglass - VS 2301-Gold-BRN (40) online at best prices on Nykaa Fashion. Uncover the perfect blend of style and savings & avail fast delivery with great offers.,site,images/nykaa/22909654.jpg,nykaa,https://www.nykaafashion.com/hashtag-eyewear-brown-uv-protection-oval-full-rim-casual-women-sunglass-vs-2301-gold-brn-40/p/22909654,2026-06-13T08:36:04.713855+00:00
ajio_702013278,Men Slip-On Formal Shoes,REGAL,3990,,,men,footwear,formal-shoes,Formal Shoes,office,men;footwear;formal-shoes;office;REGAL,Brown pair of formal shoes for men from REGAL. Well suited to office and formal settings.,metadata,images/ajio/702013278.jpg,ajio,https://www.ajio.com/regal-men-slip-on-formal-shoes/p/702013278_brown,2026-06-13T08:58:54.381386+00:00
ajio_700917335,Men Formal Lace-Up Shoes with Faux Leather Upper,KOSHER,1500,3.7,,men,footwear,formal-shoes,Formal Shoes,office,men;footwear;formal-shoes;office;KOSHER,Black pair of formal shoes for men from KOSHER. It features a leather build. Well suited to office and formal settings.,metadata,images/ajio/700917335.jpg,ajio,https://www.ajio.com/kosher-men-formal-lace-up-shoes-with-faux-leather-upper/p/700917335_black,2026-06-13T09:00:02.446018+00:00
ajio_469683825,Men Patterned Low-Top Loafers,U.S. Polo Assn.,1610,3.4,,men,footwear,loafers,Loafers,casual,men;footwear;loafers;casual;U.S. Polo Assn.,Black pair of loafers for men from U.S. Polo Assn.. Easy to dress down for everyday casual wear.,metadata,images/ajio/469683825.jpg,ajio,https://www.ajio.com/u-s-polo-assn-men-patterned-low-top-loafers/p/469683825_black,2026-06-13T09:03:28.814756+00:00
ajio_700692049,Men Double-Strap Slip-On Sandals,SPYKAR,1100,3.6,,men,footwear,sandals,Sandals,vacation,men;footwear;sandals;vacation;SPYKAR,Olive pair of sandals for men from SPYKAR. A versatile addition to the wardrobe.,metadata,images/ajio/700692049.jpg,ajio,https://www.ajio.com/spykar-men-double-strap-slip-on-sandals/p/700692049_olive,2026-06-13T09:23:19.410315+00:00
ajio_701984081,Men Ankle-Length Chelsea Boots with Lace Fastening,BUCIK,595,3.5,,men,footwear,boots,Boots,winter,men;footwear;boots;winter;BUCIK,Brown pair of boots for men from BUCIK. A versatile addition to the wardrobe.,metadata,images/ajio/701984081.jpg,ajio,https://www.ajio.com/bucik-men-ankle-length-chelsea-boots-with-lace-fastening/p/701984081_brown,2026-06-13T09:32:18.911669+00:00
ajio_464207650,Men Elevator Casual Heeled Slip-on Traditional Jutti,BXXY,1400,2.0,,men,footwear,ethnic-footwear,Ethnic Footwear,wedding,men;footwear;ethnic-footwear;wedding;BXXY,Brown pair of ethnic footwear for men from BXXY. Made for weddings and festive celebrations.,metadata,images/ajio/464207650.jpg,ajio,https://www.ajio.com/bxxy-men-elevator-casual-heeled-slip-on-traditional-jutti/p/464207650_brown,2026-06-13T09:43:55.208410+00:00
ajio_4935353720,Men Analogue Watch-NU1825SL16,TITAN,2236,,,men,accessory,watches,Watches,office,men;accessory;watches;office;TITAN,Multicoloured watch for men from TITAN. Well suited to office and formal settings.,metadata,images/ajio/4935353720.jpg,ajio,https://www.ajio.com/titan-men-analogue-watch-nu1825sl16/p/4935353720_multi,2026-06-13T09:48:38.466298+00:00
ajio_4934125790,Men Water-Resistant Analogue Watch-90200SL04,TITAN,7697,,,men,accessory,watches,Watches,office,men;accessory;watches;office;TITAN,Multicoloured watch for men from TITAN. Well suited to office and formal settings.,metadata,images/ajio/4934125790.jpg,ajio,https://www.ajio.com/titan-men-water-resistant-analogue-watch-90200sl04/p/4934125790_multi,2026-06-13T09:50:17.328072+00:00
ajio_702546309,ANIME - Men Baseball Caps,BEWAKOOF,383,4.0,,men,accessory,caps,Caps,sports,men;accessory;caps;sports;BEWAKOOF,Olive cap for men from BEWAKOOF. Built for workouts and active days.,metadata,images/ajio/702546309.jpg,ajio,https://www.ajio.com/bewakoof-anime--men-baseball-caps/p/702546309_olive,2026-06-13T09:53:11.612028+00:00
